window_id,train_start,train_end,test_start,test_end,sharpe,ann_return,ann_vol,max_drawdown,hist_var_95,hist_es_95,turnover,w_AAPL,w_ABT,w_BAC,w_CVX,w_GS,w_INTC,w_JNJ,w_JPM,w_KO,w_MCD,w_MSFT,w_PFE,w_PG,w_WMT,w_XOM
0,2005-01-04,2008-01-04,2008-01-07,2009-01-05,-0.9685325796057931,-0.4572839237901114,0.492790778363902,-0.5351159472040403,0.050605257788277874,0.07257124651174438,1.5999999999999999,0.7087561161824882,0.0,7.047314121155779e-18,0.13414749891529454,0.0,0.0,0.0,0.0,0.0,0.1570963849022171,0.0,0.0,7.806255641895632e-18,1.5070410197548512e-17,1.214306433183765e-17
1,2005-04-06,2008-04-07,2008-04-08,2009-04-06,-0.39184095607692204,-0.13831061046226167,0.4040175178241545,-0.4273438399421965,0.04053893430978839,0.057666392150246576,0.6773977013244543,0.4740490319397227,0.0,8.673617379884035e-18,0.030155732495833008,0.0,1.3010426069826053e-17,8.239936510889834e-18,0.0,0.06661572030254843,0.429179515261896,6.938893903907228e-18,2.211772431870429e-17,0.0,0.0,0.0
2,2005-07-06,2008-07-07,2008-07-08,2009-07-07,-0.3594534329306367,-0.1309458173279541,0.4199314945793718,-0.43523701910072726,0.04028387318378163,0.06069287611062486,0.19354290559676307,0.5482036500042833,0.0,2.0383000842727483e-17,0.0,0.0,5.4643789493269423e-17,0.0,1.3010426069826053e-18,0.0,0.45179634999571694,5.637851296924623e-18,5.397548049788578e-17,0.0,2.168404344971009e-18,1.5044152176183628e-17
3,2005-10-04,2008-10-03,2008-10-06,2009-10-05,-0.10750683317115739,-0.012765729538928863,0.30477811103464875,-0.1847942447577586,0.03213672761706332,0.042314021619336256,1.0090977409785544,0.04365477951500599,0.16923830193293313,2.7755575615628914e-17,0.0,8.673617379884035e-18,6.331740687315346e-17,0.0,0.0,4.7704895589362195e-17,0.7871069185520609,0.0,0.0,3.2959746043559335e-17,0.0,0.0
4,2006-01-04,2009-01-05,2009-01-06,2010-01-05,-0.004306682412886044,0.019078627415744037,0.2139402203029475,-0.17219024201299565,0.02026414095992742,0.030951133440764077,0.23336621189207302,7.920214286213234e-17,0.09620997550190268,3.1744652036644995e-17,0.0,2.024853845734453e-17,0.0,2.374517877149237e-17,1.710145626585187e-17,4.019252907370999e-17,0.9037900244980974,3.5119135480050876e-17,0.0,3.395673414943746e-17,0.0,3.179175541329463e-17
5,2006-04-05,2009-04-06,2009-04-07,2010-04-07,1.6309946869999246,0.2911530572299266,0.16625011679394147,-0.07314038003795781,0.015749738682545183,0.020570200027647614,0.2740655658863879,0.13703278294319382,0.0,0.0,3.57109090562413e-17,1.6696713456276768e-16,3.903127820947816e-18,2.1941541465675396e-17,1.1839487723541708e-16,6.136584296267955e-17,0.8629672170568063,0.0,8.239936510889834e-18,1.0842021724855044e-17,0.0,0.0
6,2006-07-06,2009-07-07,2009-07-08,2010-07-07,1.7396519575026246,0.3034427478722894,0.1629307210688122,-0.08289766435929039,0.015853087193441896,0.022232981505741736,0.17470500614511275,0.22438528601574992,0.0,6.071532165918825e-18,0.0,0.0,5.4643789493269423e-17,1.496198998029996e-17,0.0,2.0816681711721685e-17,0.7756147139842502,0.0,4.85722573273506e-17,4.5672016515951874e-18,2.7755575615628914e-17,0.0
7,2006-10-04,2009-10-05,2009-10-06,2010-10-05,1.9189844812666614,0.326529249073814,0.15973513701425068,-0.08288224782137768,0.014523527677643887,0.021475695314660183,0.5001753788370262,0.30039402685342137,0.0,0.0,3.7513395167998453e-17,0.0,0.0,7.41594285980085e-17,0.0,0.17407894858084158,0.5255270245657372,0.0,0.0,0.0,0.0,0.0
8,2007-01-05,2010-01-05,2010-01-06,2011-01-04,1.505269647885883,0.25117425546816013,0.15357664041717958,-0.08361889728760138,0.01563144655890255,0.021405262662413486,0.15916952585345207,0.3061005153230179,0.0738782744571294,0.0,1.214306433183765e-17,3.230922474006803e-17,0.0,1.1275702593849246e-17,1.3227266504323154e-17,0.10337389120811755,0.5166473190117352,0.0,0.0,1.3227266504323154e-17,0.0,0.0
9,2007-04-09,2010-04-07,2010-04-08,2011-04-05,1.1692602652893107,0.20452534210938988,0.1578137456378638,-0.08474868927363176,0.016015716405343928,0.022123557941437885,0.35450433133049397,0.3160632152914605,0.0,0.0,1.6263032587282567e-17,1.8973538018496328e-17,0.0,0.04825726254767992,1.3769367590565906e-17,3.0791341698588326e-17,0.6356795221608598,0.0,5.421010862427522e-18,5.421010862427522e-18,0.0,0.0
