lambda,ann_return,ann_vol,sharpe,AAPL,ABT,BAC,CVX,GS,INTC,JNJ,JPM,KO,MCD,MSFT,PFE,PG,WMT,XOM
0.0,0.09569410225475995,0.14396312660838703,0.5257881235664364,5.278646339181533e-19,0.05391393807461484,0.0,0.0,0.0,2.610088909609063e-18,0.2240848208229048,0.0,0.1781895741485614,0.1624260902502259,0.0,0.012839933918755694,0.16834120903996583,0.2002044337449716,0.0
0.02,0.09569410225475995,0.14396312660838703,0.5257881235664364,5.278646339181533e-19,0.05391393807461484,0.0,0.0,0.0,2.610088909609063e-18,0.2240848208229048,0.0,0.1781895741485614,0.1624260902502259,0.0,0.012839933918755694,0.16834120903996583,0.2002044337449716,0.0
0.04,0.09569410225475995,0.14396312660838703,0.5257881235664364,5.278646339181533e-19,0.05391393807461484,0.0,0.0,0.0,2.610088909609063e-18,0.2240848208229048,0.0,0.1781895741485614,0.1624260902502259,0.0,0.012839933918755694,0.16834120903996583,0.2002044337449716,0.0
0.06,0.10679126942216022,0.14528236653005588,0.5973971338391242,0.05446516083863559,0.05282171097253772,0.0,8.673617379884035e-19,2.710505431213761e-20,2.168404344971009e-18,0.22429485049751682,0.0,0.16724380164552285,0.17356265055944192,0.0,0.0022379844905524937,0.1494268333376616,0.175947007658131,4.336808689942018e-19
0.08,0.10679126942216022,0.14528236653005588,0.5973971338391242,0.05446516083863559,0.05282171097253772,0.0,8.673617379884035e-19,2.710505431213761e-20,2.168404344971009e-18,0.22429485049751682,0.0,0.16724380164552285,0.17356265055944192,0.0,0.0022379844905524937,0.1494268333376616,0.175947007658131,4.336808689942018e-19
0.1,0.10679126942216022,0.14528236653005588,0.5973971338391242,0.05446516083863559,0.05282171097253772,0.0,8.673617379884035e-19,2.710505431213761e-20,2.168404344971009e-18,0.22429485049751682,0.0,0.16724380164552285,0.17356265055944192,0.0,0.0022379844905524937,0.1494268333376616,0.175947007658131,4.336808689942018e-19
0.12,0.12005459159181019,0.14931372456228795,0.670096414901643,0.1172524389726201,0.05211470870801507,1.734723475976807e-18,1.734723475976807e-18,8.673617379884035e-19,8.673617379884035e-19,0.21633249626097276,0.0,0.15122660327257625,0.19480243064092123,8.673617379884035e-19,5.44811591673966e-18,0.12408436644997355,0.1441869556949211,1.7618285302889447e-18
0.14,0.12005459159181019,0.14931372456228795,0.670096414901643,0.1172524389726201,0.05211470870801507,1.734723475976807e-18,1.734723475976807e-18,8.673617379884035e-19,8.673617379884035e-19,0.21633249626097276,0.0,0.15122660327257625,0.19480243064092123,8.673617379884035e-19,5.44811591673966e-18,0.12408436644997355,0.1441869556949211,1.7618285302889447e-18
0.16,0.12005459159181019,0.14931372456228795,0.670096414901643,0.1172524389726201,0.05211470870801507,1.734723475976807e-18,1.734723475976807e-18,8.673617379884035e-19,8.673617379884035e-19,0.21633249626097276,0.0,0.15122660327257625,0.19480243064092123,8.673617379884035e-19,5.44811591673966e-18,0.12408436644997355,0.1441869556949211,1.7618285302889447e-18
0.18,0.13382230645835638,0.15603647823178662,0.7294595960845222,0.17956241689701186,0.05334602318297506,8.673617379884035e-19,2.6020852139652106e-18,4.336808689942018e-19,3.903127820947816e-18,0.2031699560125852,6.098637220230962e-20,0.13318272950743038,0.22505807180811227,1.734723475976807e-18,2.168404344971009e-18,0.09609815052737641,0.10958265206450885,2.168404344971009e-18
0.2,0.13382230645835638,0.15603647823178662,0.7294595960845222,0.17956241689701186,0.05334602318297506,8.673617379884035e-19,2.6020852139652106e-18,4.336808689942018e-19,3.903127820947816e-18,0.2031699560125852,6.098637220230962e-20,0.13318272950743038,0.22505807180811227,1.734723475976807e-18,2.168404344971009e-18,0.09609815052737641,0.10958265206450885,2.168404344971009e-18
0.22,0.13382230645835638,0.15603647823178662,0.7294595960845222,0.17956241689701186,0.05334602318297506,8.673617379884035e-19,2.6020852139652106e-18,4.336808689942018e-19,3.903127820947816e-18,0.2031699560125852,6.098637220230962e-20,0.13318272950743038,0.22505807180811227,1.734723475976807e-18,2.168404344971009e-18,0.09609815052737641,0.10958265206450885,2.168404344971009e-18
0.24,0.14770015317961802,0.1650763479684322,0.7735823736946257,0.2401868497321811,0.05643445256735296,8.673617379884035e-19,0.0,0.0,0.0,0.18616082950987095,0.0,0.11419849953869446,0.2615862758416525,0.0,0.0,0.06712870009848196,0.07430439271176616,0.0
0.26,0.14770015317961802,0.1650763479684322,0.7735823736946257,0.2401868497321811,0.05643445256735296,8.673617379884035e-19,0.0,0.0,0.0,0.18616082950987095,0.0,0.11419849953869446,0.2615862758416525,0.0,0.0,0.06712870009848196,0.07430439271176616,0.0
0.28,0.14770015317961802,0.1650763479684322,0.7735823736946257,0.2401868497321811,0.05643445256735296,8.673617379884035e-19,0.0,0.0,0.0,0.18616082950987095,0.0,0.11419849953869446,0.2615862758416525,0.0,0.0,0.06712870009848196,0.07430439271176616,0.0
