date,AAPL,ABT,BAC,CVX,GS,INTC,JNJ,JPM,KO,MCD,MSFT,PFE,PG,WMT,XOM
2006-01-03,1.0,0.0,7.697835424647081e-18,0.0,4.163336342344337e-17,0.0,3.0357660829594124e-18,5.421010862427522e-18,4.7704895589362195e-18,2.6020852139652106e-18,6.505213034913027e-19,0.0,0.0,0.0,5.7462715141731735e-18
2006-01-04,0.9999999999999999,2.3418766925686896e-17,1.734723475976807e-18,2.6454533008646308e-17,8.326672684688674e-17,0.0,0.0,4.336808689942018e-18,3.469446951953614e-18,4.336808689942018e-18,1.4230153513872246e-18,1.088267930632325e-17,6.071532165918825e-18,1.734723475976807e-18,1.9949319973733282e-17
2006-01-05,1.0,0.0,0.0,0.0,8.07188517415458e-17,0.0,3.5914196963582334e-18,0.0,6.6542908336297835e-18,0.0,2.520770051028798e-18,0.0,0.0,7.8198081690517e-18,0.0
2006-01-06,1.0,3.469446951953614e-17,1.734723475976807e-18,0.0,4.163336342344337e-17,0.0,0.0,0.0,0.0,0.0,0.0,5.204170427930421e-18,0.0,2.8189256484623115e-17,0.0
2006-01-09,1.0,1.214306433183765e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.673617379884035e-18,0.0,1.6046192152785466e-17,3.469446951953614e-18
2006-01-10,0.9999999999999999,0.0,0.0,0.0,1.734723475976807e-16,0.0,4.336808689942018e-18,5.204170427930421e-18,0.0,0.0,7.806255641895632e-18,0.0,3.469446951953614e-18,0.0,0.0
2006-01-11,1.0,0.0,0.0,1.734723475976807e-18,0.0,1.4094628242311558e-18,6.938893903907228e-18,0.0,1.0408340855860843e-17,0.0,0.0,6.938893903907228e-18,1.3010426069826053e-17,6.80336863234654e-18,6.938893903907228e-18
2006-01-12,1.0,0.0,5.204170427930421e-18,0.0,6.245004513516506e-17,0.0,0.0,0.0,0.0,1.214306433183765e-17,0.0,0.0,0.0,0.0,0.0
2006-01-13,1.0,2.42861286636753e-17,5.204170427930421e-18,3.003240017784847e-17,4.85722573273506e-17,0.0,0.0,0.0,4.336808689942018e-18,1.734723475976807e-18,6.071532165918825e-18,2.6020852139652106e-18,6.938893903907228e-18,0.0,1.3850682753502319e-17
2006-01-17,1.0,0.0,1.3010426069826053e-18,4.553649124439119e-18,1.3877787807814457e-17,9.75781955236954e-18,9.324138683375338e-18,4.7704895589362195e-18,2.168404344971009e-18,9.75781955236954e-18,2.168404344971009e-19,0.0,9.324138683375338e-18,0.0,0.0
2006-01-18,0.9999999999999999,0.0,1.214306433183765e-17,5.366800753803247e-18,1.3877787807814457e-16,0.0,8.673617379884035e-18,1.5612511283791264e-17,8.673617379884035e-18,0.0,1.1709383462843448e-17,0.0,5.204170427930421e-18,0.0,0.0
2006-01-19,0.9999999999999999,0.0,6.938893903907228e-18,5.204170427930421e-18,9.71445146547012e-17,3.469446951953614e-18,0.0,6.938893903907228e-18,0.0,0.0,0.0,8.673617379884035e-19,6.938893903907228e-18,5.312590645178972e-18,3.469446951953614e-17
2006-01-20,1.0,0.0,0.0,1.734723475976807e-17,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,0.0,0.0,3.469446951953614e-18,0.0,1.0408340855860843e-17
2006-01-23,1.0,1.3877787807814457e-17,0.0,2.190088388420719e-17,9.71445146547012e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3877787807814457e-17,9.86623976961809e-18
2006-01-24,1.0,0.0,1.734723475976807e-18,4.683753385137379e-17,0.0,0.0,7.806255641895632e-18,1.0408340855860843e-17,6.938893903907228e-18,0.0,0.0,3.469446951953614e-18,3.0357660829594124e-17,0.0,9.540979117872439e-18
2006-01-25,0.9188728939032899,3.903127820947816e-18,6.938893903907228e-18,0.0,0.08112710609671023,3.903127820947816e-18,4.038653092508504e-18,0.0,3.469446951953614e-18,0.0,0.0,1.734723475976807e-18,0.0,0.0,1.0408340855860843e-17
2006-01-26,0.8123594100613863,1.734723475976807e-18,1.3877787807814457e-17,0.0,0.18764058993861382,0.0,0.0,0.0,1.8214596497756474e-17,0.0,1.3877787807814457e-17,6.938893903907228e-18,0.0,4.167402100491158e-18,0.0
2006-01-27,0.7870308726044918,0.0,0.0,0.0,0.21296912739550825,0.0,0.0,0.0,0.0,0.0,3.469446951953614e-18,1.2576745200831851e-17,0.0,0.0,0.0
2006-01-30,0.8441269529202112,1.5720931501039814e-17,5.204170427930421e-18,1.9949319973733282e-17,0.15587304707978877,2.0057740190981832e-18,1.214306433183765e-17,3.0357660829594124e-18,1.734723475976807e-18,2.6020852139652106e-18,0.0,0.0,0.0,2.5710838080957032e-17,0.0
2006-01-31,0.7826068129952239,0.0,0.0,0.0,0.21739318700477597,0.0,0.0,0.0,6.911788849595091e-18,0.0,0.0,5.204170427930421e-18,6.591949208711867e-17,0.0,6.938893903907228e-17
2006-02-01,0.7630940669134987,1.951563910473908e-17,2.168404344971009e-18,0.0,0.23690593308650118,0.0,0.0,7.37257477290143e-18,8.673617379884035e-19,1.8214596497756474e-17,0.0,0.0,3.122502256758253e-17,0.0,1.3877787807814457e-17
